x,y,z
-8.0,-8.0,-94.9820680215173
-7.838383838383838,-8.0,-97.91753619238679
-7.6767676767676765,-8.0,-99.57773685756108
-7.515151515151516,-8.0,-99.98127969576048
-7.353535353535354,-8.0,-99.16438803779299
-7.191919191919192,-8.0,-97.17927740170951
-7.03030303030303,-8.0,-94.09233811704668
-6.8686868686868685,-8.0,-89.98217099728024
-6.707070707070707,-8.0,-84.93752501955582
-6.545454545454545,-8.0,-79.05518484961188
-6.383838383838384,-8.0,-72.43785390493156
-6.222222222222222,-8.0,-65.19207559807896
-6.0606060606060606,-8.0,-57.42623157829506
-5.898989898989899,-8.0,-49.24865133761908
-5.737373737373737,-8.0,-40.765862619839325
-5.575757575757576,-8.0,-32.08100682071305
-5.4141414141414135,-8.0,-23.292438148521516
-5.252525252525253,-8.0,-14.492519871732327
-5.090909090909091,-8.0,-5.7666256524282336
-4.929292929292929,-8.0,2.807651125187527
-4.767676767676767,-8.0,11.161081863124052
-4.6060606060606055,-8.0,19.233187227564255
-4.444444444444445,-8.0,26.972431516120043
-4.282828282828282,-8.0,34.3362400526172
-4.121212121212121,-8.0,41.2908553630856
-3.9595959595959593,-8.0,47.81104988321617
-3.7979797979797976,-8.0,53.879714327686536
-3.636363636363636,-8.0,59.487341634596156
-3.474747474747474,-8.0,64.63142661785109
-3.313131313131313,-8.0,69.31580116355586
-3.1515151515151514,-8.0,73.5499240506258
-2.9898989898989896,-8.0,77.34814332618602
-2.828282828282828,-8.0,80.7289476935707
-2.666666666666666,-8.0,83.71422164848849
-2.5050505050505043,-8.0,86.32851720131038
-2.3434343434343425,-8.0,88.59835302292053
-2.1818181818181817,-8.0,90.5515498169602
-2.02020202020202,-8.0,92.21660871603076
-1.8585858585858581,-8.0,93.62213758027202
-1.6969696969696964,-8.0,94.79632829265174
-1.5353535353535346,-8.0,95.76648653680465
-1.3737373737373728,-8.0,96.55861414194399
-1.212121212121212,-8.0,97.19704290788184
-1.0505050505050502,-8.0,97.70411789532737
-0.8888888888888884,-8.0,98.09992748777047
-0.7272727272727266,-8.0,98.40207709888718
-0.5656565656565649,-8.0,98.62550320384929
-0.4040404040404031,-8.0,98.78232439812331
-0.2424242424242422,-8.0,98.88172641169722
-0.08080808080808044,-8.0,98.92987840389328
0.08080808080808133,-8.0,98.92987840389328
0.24242424242424399,-8.0,98.88172641169722
0.40404040404040487,-8.0,98.78232439812331
